Id,original_title,English Title,Overview,Release Date,Genre,Cast,Producer,Director
127501,बर्फी!,Barfi!,"He is cute. He's shrewd. The girls love him. The cops hate him. He can't speak but is always talked about. His naughty antics will make you scream, but he will never listen. Cos he can't! Next summer ride a rollercoaster of emotions with Barfii - the Chalu Chaplin!",2012-09-13,"['Drama', 'Romance', 'Comedy']","['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz"", 'Saurabh Shukla', 'Jisshu Sengupta', 'Ashish Vidhyarthi', 'Akash Khurana', 'Roopa Ganguly', 'Sujata Sehgal', 'Arun Bali', 'Sumona Chakravarti', 'Haradhan Bandopadhyay', 'Uday Tikekar', 'Shreya Ghoshal', 'Bholaraj Sapkota', 'Preiti Mamgain', 'Kenneth Desai', 'Neeraj Khetrapal', 'Rajeev Mishra', 'Nirmala D. Thappa', 'Apurva Pranjape', 'Rahul Malhothra', 'Bhagyashree Dembla', 'Subhankar Ghosh', 'Purva Parag', 'Archana Dani']","['Ronnie Screwvala', 'Siddharth Roy Kapur', 'Rekha Bhardwaj', 'Vijai Singh', 'Rucha Pathak']","['Anurag Basu', 'Anurag Basu']"
934419,क़ला,Qala,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",2022-11-24,['Drama'],"['Tripti Dimri', 'Swastika Mukherjee', 'Babil Khan', 'Amit Sial', 'Sameer Kochhar', 'Girija Oak', 'Swanand Kirkire', 'Tasveer Kamil', 'Varun Grover', 'Abhishek Banerjee', 'Veera Kapur Ee', 'Aadhya Jha', 'Anushka Sharma']","['Manoj Mittra', 'Karnesh Sharma', 'Saurabh Malhotra', 'Harish Iyer', 'Anant Kumar Gupta']","['Anshai Lal', 'Ankit Malik']"
21297,Wake Up Sid,Wake Up Sid,"Wake Up Sid! is the story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",2009-10-02,"['Comedy', 'Drama', 'Romance']","['Ranbir Kapoor', 'Konkona Sen Sharma', 'Rahul Khanna', 'Anupam Kher', 'Supriya Pathak', 'Namit Das', 'Shikha Talsania', 'Kashmera Shah', 'Shruti Bapna', 'Kainaz Motivala']","['Karan Johar', 'Hiroo Johar', 'Apoorva Mehta', 'Sanjay Mehta', 'Nandini Shrikent', 'Prashant Kunder']",['Kabir Singh Chowdhry']
12259,शोले,Sholay,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",1975-08-15,['Action'],"['Amitabh Bachchan', 'Dharmendra', 'Sanjeev Kumar', 'Hema Malini', 'Jaya Bachchan', 'Amjad Khan', 'Asrani', 'Jagdeep', 'A.K. Hangal', 'Satyendra Kapoor', 'Iftekhar', 'Sachin Pilgaonkar', 'Helen', 'Viju Khote', 'Mac Mohan', 'Leela Mishra', 'Keshto Mukherjee', 'Jalal Agha']","['G.P. Sippy', 'Aziz Bhai', 'Suresh Desai', 'Rajan Walia']","['Ramesh Sippy', 'A.R. Balan', 'Kishen Bishen', 'Khalish Lucknavi', 'Sharad Palekar', 'D.R. Thakkar']"
911645,गहराइयाँ,Gehraiyaan,"Alisha Khanna, 30, ambitious, now finds herself at crossroads in life. Her six year long relationship has grown monotonous, her career seems to be going nowhere. But just when she had begun to accept this reality as unchangeable, her life is usurped by the arrival of her cousin, Tia and her fiancé, Zain, with whom she bonds over a troubled past and a common wish to break from its confines.",2022-02-11,"['Romance', 'Drama']","['Deepika Padukone', 'Siddhant Chaturvedi', 'Ananya Pandey', 'Dhairya Karwa', 'Naseeruddin Shah', 'Rajat Kapoor', 'Vihaan Chaudhary', 'Pavleen Gujral', 'Deepak Kriplani', 'Kanika Dang', 'Natasha Rastogi', 'Ananya Anand', 'Arzoo', 'Vedansh', 'Imran Chappar', 'Alison Gonsalves', 'Fiona Gonsalves', 'Vishaka Kavlekar']","['Karan Johar', 'Hiroo Johar', 'Apoorva Mehta', 'Vikesh Bhutani', 'Ajit Andhare', 'Panchami Ghavri']","['Shakun Batra', 'Shakun Batra', 'Shakun Batra', 'Shakun Batra']"
4254,कल हो ना हो,Kal Ho Naa Ho,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,2003-11-27,"['Comedy', 'Drama', 'Romance']","['Shah Rukh Khan', 'Preity Zinta', 'Saif Ali Khan', 'Jaya Bachchan', 'Sonali Bendre', 'Reema Lagoo', 'Delnaaz Irani', 'Lillete Dubey', 'Simone Singh', 'Rajpal Yadav', 'Satish Shah', 'Shoma Anand', 'Ketki Dave', 'Sushma Seth', 'Athit Naik', 'Jhanak Shukla', 'Kamini Khanna', 'Dara Singh', 'Anaita Shroff Adajania', 'Sulabha Arya', 'Farah Khan', 'Sonali Bendre', 'Sanjay Kapoor', 'Kajol', 'Rani Mukerji', 'Uday Chopra']","['Karan Johar', 'Karan Johar', 'Karan Johar', 'Yash Johar', 'Manoj Mittra', 'Hiroo Johar', 'Sean Powers', 'Ganesh Nankoosingh', 'Anadil Hossain', 'Driss Benyaklef', 'Prashant Kunder', 'Joseph White', 'Alex Schimel', 'Gopal Babel', 'Rita Powers', 'Fabio Martinez', 'Malaika Johnson']","['Nikkhil Advani', 'Tarun Mansukhani', 'Kapil Chopra', 'Ana Cuadra', 'David Coombs', 'Mamta Bhatia']"
4157,हे बेबी,Heyy Babyy,"Three handsome Sydney bachelors Aroush, Tanmay and Al – are having the time of their lives in Sydney. They flirt around, and have numerous conquests to their credit. They suddenly find their dating and mating rituals destroyed when a dimpled little roommate lands up on their doorstep. When it comes to babies, they’re total zeroes and this bundle of joy is anything but joyous.",2007-08-24,"['Comedy', 'Drama', 'Romance']","['Akshay Kumar', 'Fardeen Khan', 'Ritesh Deshmukh', 'Vidya Balan', 'Boman Irani', 'Anupam Kher', 'Chirag Vohra', 'Anupam Sharma', 'Vrajesh Hirjee', 'Bikramjeet Kanwarpal', 'Shah Rukh Khan', 'Aarti Chabria', 'Kim Sharma', 'Tara Sharma', 'Payal Rohatgi', 'Celina Jaitly']","['Sajid Nadiadwala', 'Julie Sims', 'Swapna David', 'Ramjanam Dubey']","['Sajid Khan', 'Sajid Khan', 'Sajid Khan']"
695969,हसीन दिलरुबा,Haseen Dillruba,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",2021-07-02,"['Mystery', 'Crime', 'Thriller', 'Romance']","['Taapsee Pannu', 'Vikrant Massey', 'Harshvardhan Rane', 'Aditya Srivastava', 'Yamini Das', 'Daya Shankar Pandey', 'Ashish Verma', 'Deepesh Sumitra Jagdish', 'Ashique Hussain', 'Puja Sarup', 'Alka Kaushal', 'Amit Thakur', 'Kunj Anand']","['Bhushan Kumar', 'Krishan Kumar', 'Aanand L. Rai', 'Mukesh Chhabra', 'Ashish Vishnu Tandel']","['Vinil Mathew', 'Vikramjeet Dahiya']"
472138,Thugs of Hindostan,Thugs of Hindostan,"After the British company’s officer Clive takes over the kingdom of Mirza, Princess Zafira and Khudabaksh aka Azaad form a band of rebel pirates who swear to defeat the English officer and win their freedom back. The British Company in return, hire the wily thug Firangi track Azaad’s gang and thwart his plans.",2018-11-07,"['Adventure', 'Action']","['Amitabh Bachchan', 'Aamir Khan', 'Katrina Kaif', 'Fatima Sana Shaikh', 'Mohammed Zeeshan Ayyub', 'Lloyd Owen', 'Surendra Pal', 'Shane John Kruger', 'Kaivalya Chheda', 'Shaji Chaudhary', 'R. Bhakti Klei', 'Manjit Singh', 'Venkat Vadisetti', 'Ronit Roy', 'Satyadev Kancharana', 'Sharat Saxena']","['Aditya Chopra', 'Sanjay Shivalkar', 'Aashish Singh', 'Edward Said', 'Bharat Rawail']",[]
14070,गजनी,Ghajini,"A man suffering from anterograde amnesia as a result of a violent attack in the past sets out to avenge his girlfriend's death with the aid of photographs, notes and tattoos all over his body.",2008-12-25,"['Action', 'Romance', 'Thriller']","['Aamir Khan', 'Asin Thottumkal', 'Jiah Khan', 'Pradeep Ram Singh Rawat', 'Riyaz Khan', 'Khalid Siddiqui', 'Tinnu Anand', 'Sunil Grover', 'Sai Tamhankar', 'Rajendran', 'Supreet']","['Tagore Madhu', 'Harish Amin', 'Madhu Mantena Varma', 'Deepak Gawade', 'Gwen Swart', 'Paul Van Der Ploeg']","['A.R. Murugadoss', 'A.R. Murugadoss', 'A.R. Murugadoss']"
103243,विक्की डोनर,Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",2012-04-20,"['Comedy', 'Romance']","['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia', 'Kamlesh Gill', 'Puja Gupta', 'Inderpal Singh', 'John Abraham', 'Swaroopa Ghosh']","['Sunil Lulla', 'Sheel Kumar', 'Ram Mirchandani', 'Sanjay Inamdar', 'Ronnie Lahiri', 'Jogi Malang']",['Shoojit Sircar']
